[18:20:22] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[18:20:24] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:20:24] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:20:24] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:20:24] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:20:24] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:20:24] [main/INFO]: Reloading ResourceManager: Default
[18:20:27] [Worker-Main-4/INFO]: Loaded 7 recipes
[18:20:28] [Worker-Main-4/INFO]: Loaded 927 advancements
[18:20:32] [Server thread/INFO]: Starting minecraft server version 1.16.1
[18:20:32] [Server thread/INFO]: Loading properties
[18:20:32] [Server thread/INFO]: Default game type: SURVIVAL
[18:20:32] [Server thread/INFO]: Generating keypair
[18:20:33] [Server thread/INFO]: Starting Minecraft server on 192.168.0.50:25565
[18:20:34] [Server thread/INFO]: Using epoll channel type
[18:20:34] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[18:20:34] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[18:20:34] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[18:20:34] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[18:20:34] [Server thread/INFO]: Preparing level "Family-story"
[18:20:53] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[18:20:54] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:20:54] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:20:54] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:20:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:20:55] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:20:55] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[18:20:56] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:20:56] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:20:57] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[18:20:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:20:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:20:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:20:59] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:20:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:21:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:21:00] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:21:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:21:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:21:02] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:21:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:21:03] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[18:21:03] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[18:21:04] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[18:21:04] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[18:21:05] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[18:21:05] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[18:21:06] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[18:21:06] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[18:21:07] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[18:21:07] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[18:21:08] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[18:21:08] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[18:21:09] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[18:21:09] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:10] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:10] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:11] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:12] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[18:21:12] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:12] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[18:21:13] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:13] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:14] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[18:21:14] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[18:21:15] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:15] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:16] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:16] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[18:21:17] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[18:21:17] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[18:21:18] [Worker-Main-5/INFO]: Preparing spawn area: 8%
[18:21:18] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[18:21:19] [Worker-Main-6/INFO]: Preparing spawn area: 8%
[18:21:19] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[18:21:20] [Worker-Main-6/INFO]: Preparing spawn area: 8%
[18:21:20] [Worker-Main-6/INFO]: Preparing spawn area: 8%
[18:21:21] [Worker-Main-6/INFO]: Preparing spawn area: 8%
[18:21:21] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[18:21:22] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[18:21:23] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[18:21:23] [Worker-Main-6/INFO]: Preparing spawn area: 8%
[18:21:23] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[18:21:24] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[18:21:24] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[18:21:25] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:25] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[18:21:26] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:26] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:27] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[18:21:27] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[18:21:28] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:28] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[18:21:29] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:29] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:30] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:30] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[18:21:31] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:31] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[18:21:32] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[18:21:32] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[18:21:33] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[18:21:33] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[18:21:34] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[18:21:34] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[18:21:35] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[18:21:35] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[18:21:36] [Worker-Main-4/INFO]: Preparing spawn area: 17%
[18:21:36] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[18:21:37] [Worker-Main-5/INFO]: Preparing spawn area: 18%
[18:21:38] [Worker-Main-5/INFO]: Preparing spawn area: 18%
[18:21:38] [Worker-Main-5/INFO]: Preparing spawn area: 18%
[18:21:38] [Worker-Main-6/INFO]: Preparing spawn area: 18%
[18:21:39] [Worker-Main-5/INFO]: Preparing spawn area: 18%
[18:21:39] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[18:21:40] [Worker-Main-5/INFO]: Preparing spawn area: 19%
[18:21:40] [Worker-Main-5/INFO]: Preparing spawn area: 19%
[18:21:41] [Worker-Main-5/INFO]: Preparing spawn area: 20%
[18:21:41] [Worker-Main-6/INFO]: Preparing spawn area: 20%
[18:21:42] [Worker-Main-6/INFO]: Preparing spawn area: 21%
[18:21:42] [Worker-Main-4/INFO]: Preparing spawn area: 21%
[18:21:43] [Worker-Main-4/INFO]: Preparing spawn area: 21%
[18:21:43] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[18:21:44] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[18:21:44] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[18:21:45] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[18:21:45] [Worker-Main-6/INFO]: Preparing spawn area: 22%
[18:21:46] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[18:21:46] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[18:21:47] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[18:21:47] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[18:21:48] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[18:21:48] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[18:21:49] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[18:21:49] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[18:21:50] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[18:21:50] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[18:21:51] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[18:21:51] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[18:21:52] [Worker-Main-4/INFO]: Preparing spawn area: 26%
[18:21:52] [Worker-Main-5/INFO]: Preparing spawn area: 27%
[18:21:53] [Worker-Main-5/INFO]: Preparing spawn area: 27%
[18:21:53] [Worker-Main-5/INFO]: Preparing spawn area: 27%
[18:21:54] [Worker-Main-4/INFO]: Preparing spawn area: 27%
[18:21:54] [Worker-Main-4/INFO]: Preparing spawn area: 27%
[18:21:55] [Worker-Main-5/INFO]: Preparing spawn area: 27%
[18:21:55] [Worker-Main-6/INFO]: Preparing spawn area: 27%
[18:21:56] [Worker-Main-6/INFO]: Preparing spawn area: 30%
[18:21:56] [Worker-Main-4/INFO]: Preparing spawn area: 31%
[18:21:57] [Worker-Main-6/INFO]: Preparing spawn area: 31%
[18:21:57] [Worker-Main-4/INFO]: Preparing spawn area: 31%
[18:21:58] [Worker-Main-4/INFO]: Preparing spawn area: 31%
[18:21:58] [Worker-Main-4/INFO]: Preparing spawn area: 31%
[18:21:59] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[18:22:00] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[18:22:01] [Worker-Main-6/INFO]: Preparing spawn area: 34%
[18:22:01] [Worker-Main-6/INFO]: Preparing spawn area: 34%
[18:22:01] [Worker-Main-5/INFO]: Preparing spawn area: 35%
[18:22:05] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[18:22:05] [Worker-Main-6/INFO]: Preparing spawn area: 36%
[18:22:05] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[18:22:05] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[18:22:05] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[18:22:05] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[18:22:05] [Worker-Main-6/INFO]: Preparing spawn area: 36%
[18:22:05] [Worker-Main-6/INFO]: Preparing spawn area: 41%
[18:22:07] [Worker-Main-4/INFO]: Preparing spawn area: 41%
[18:22:07] [Worker-Main-5/INFO]: Preparing spawn area: 41%
[18:22:07] [Worker-Main-4/INFO]: Preparing spawn area: 41%
[18:22:07] [Worker-Main-6/INFO]: Preparing spawn area: 43%
[18:22:09] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[18:22:09] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[18:22:09] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[18:22:09] [Worker-Main-6/INFO]: Preparing spawn area: 45%
[18:22:10] [Worker-Main-5/INFO]: Preparing spawn area: 46%
[18:22:10] [Worker-Main-5/INFO]: Preparing spawn area: 47%
[18:22:12] [Worker-Main-4/INFO]: Preparing spawn area: 47%
[18:22:12] [Worker-Main-4/INFO]: Preparing spawn area: 47%
[18:22:12] [Worker-Main-4/INFO]: Preparing spawn area: 48%
[18:22:12] [Worker-Main-5/INFO]: Preparing spawn area: 49%
[18:22:13] [Worker-Main-6/INFO]: Preparing spawn area: 50%
[18:22:13] [Worker-Main-4/INFO]: Preparing spawn area: 50%
[18:22:15] [Worker-Main-6/INFO]: Preparing spawn area: 52%
[18:22:15] [Worker-Main-5/INFO]: Preparing spawn area: 52%
[18:22:15] [Worker-Main-6/INFO]: Preparing spawn area: 52%
[18:22:15] [Worker-Main-5/INFO]: Preparing spawn area: 52%
[18:22:17] [Worker-Main-6/INFO]: Preparing spawn area: 55%
[18:22:17] [Worker-Main-4/INFO]: Preparing spawn area: 55%
[18:22:17] [Worker-Main-4/INFO]: Preparing spawn area: 55%
[18:22:17] [Worker-Main-4/INFO]: Preparing spawn area: 55%
[18:22:19] [Worker-Main-6/INFO]: Preparing spawn area: 58%
[18:22:19] [Worker-Main-5/INFO]: Preparing spawn area: 58%
[18:22:19] [Worker-Main-5/INFO]: Preparing spawn area: 58%
[18:22:19] [Worker-Main-5/INFO]: Preparing spawn area: 59%
[18:22:19] [Worker-Main-6/INFO]: Preparing spawn area: 60%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 60%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 60%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 60%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 60%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 60%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 60%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 61%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 61%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 61%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 61%
[18:22:25] [Worker-Main-4/INFO]: Preparing spawn area: 61%
[18:22:26] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[18:22:27] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[18:22:27] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[18:22:27] [Worker-Main-4/INFO]: Preparing spawn area: 69%
[18:22:27] [Worker-Main-6/INFO]: Preparing spawn area: 69%
[18:22:28] [Worker-Main-6/INFO]: Preparing spawn area: 70%
[18:22:29] [Worker-Main-5/INFO]: Preparing spawn area: 71%
